number	x	y	z
1	0.0	0.0	0.0	
2	715.4393532081266	-1233.9570114302194	-908.8303538890115	
3	1272.6070776076701	261.4445766117424	37.937279025953956	
4	-318.11107504527024	-120.49592072155346	-884.513612415677	
5	1215.2150709052926	109.14317109660848	-20.604678083229516	
6	1306.046621578677	-786.5924642287031	-904.5818382646006	
7	1004.5206367282549	-704.1312626763013	-719.9341285776405	
8	1172.7213373532147	-1488.6355371857574	-761.8176114645664	
9	-69.25418255349928	-39.344493401143495	-835.1452775332571	
10	1680.347339474101	-1113.7335312391804	-888.3703371752814	
11	685.5931190735976	214.20251815913963	-636.4461165857534	
12	709.1021582134146	-1096.06446805093	-1002.6269240228714	
13	875.0385591428649	-275.07015309256224	-149.34913393006215	
14	232.4662348595985	-804.8030931668675	-891.817601798831	
15	1735.3378194591587	-853.5382123881145	-444.0911641665499	
16	1738.147926224537	209.95813936514563	-967.2490924679171	
17	752.3193930977621	-97.50054581664358	-505.55519325710077	
18	1823.3084925814296	-621.8644585340248	-495.5931218210836	
19	1233.954570367899	-993.7737042804287	-490.46764824849333	
20	352.7484381418327	-866.1869663528136	-969.3261321921178	
21	262.70386988041656	20.27174605051883	-797.7532116174955	
22	329.8157804559979	-195.95893850426734	-1115.737621597435	
23	-166.4504057283481	-381.1135767373289	-877.4054817853555	
24	942.1035403550027	-1038.9141202142257	-1037.866464802013	
25	742.9124943353163	4.040104901425394	-60.79350596524817	
26	1465.6104742933617	-1053.0870526190824	-760.4145451747504	
27	235.07723994289202	-950.567422959095	-843.8518668613774	
28	1546.0349914620579	-436.2500759953128	-674.2382344827779	
29	711.0215405432265	-57.29090531312764	-452.64679871115504	
30	1988.3933477503501	-1238.8672826854006	-744.5142713496964	
31	216.1516509630197	-221.1644788501864	-1180.2736982400181	
32	760.5881072942659	-374.87017463614796	-151.222241085638	
33	795.4014634230575	-83.20831899380275	350.6282386364933	
34	1226.352985810972	-1329.5771841961189	-1001.5447923718118	
35	65.85086057830773	-686.0706341174048	-793.6948169298253	
36	1826.9492893689462	-1063.5492924624873	-720.6525602131555	
37	1564.9049382416176	-536.5334264320772	-1304.0722302369597	
38	755.6004592801704	-1513.1453689476987	-815.4782883461537	
39	772.3436916341343	-602.7523497301715	-458.7350557561647	
40	1567.4913668235745	-656.3235893825648	-702.8740062678662	
41	975.6801319273766	-1401.9689574207405	-1130.624241165236	
42	389.3317559704307	-1453.3224926225625	-987.7430542436477	
43	304.21620051854023	-1788.4002182513616	-1159.028663623574	
44	1010.0397807899644	251.93033560190577	-253.39566524502996	
45	901.181855235315	-172.4582991580103	-523.0392351115358	
46	-60.30422966808618	-104.73627033358582	-1393.3727487109438	
47	1014.8728249332212	-246.45938418598635	-694.2922271573327	
48	2096.4775498085796	-1305.7599192096284	-799.5588302445899	
49	543.4389516612692	175.92612617190218	-752.8802947768339	
50	191.89772520590455	-1147.8057363762866	-1329.8563083559923	
51	1430.792320596951	-1527.7405278998428	-959.0774942475961	
52	1570.3202267848	-941.8804649282611	-933.0743498410556	
53	1441.0382472223407	198.11312888796215	-544.6996141832096	
54	-2.4903179580064716	-449.0631866836426	-788.1644851742849	
55	1683.7510461226282	-715.5215573586373	-689.0861135906432	
56	1220.2274442065025	573.9408713415321	-589.8213364501258	
57	44.87812218504308	-300.81561017772447	-1006.7909689680051	
58	1262.3499362475166	-455.92958301177913	-686.3406094682152	
59	1298.098623600409	493.1239949007261	-211.03446519112893	
60	532.9150286657627	-1515.9798077838682	-785.0865837032778	
61	122.63186897445217	-1370.0809412011042	-924.2404497309518	
62	1600.737305473252	-703.3460651454004	-876.8686526016376	
63	17.982802711839724	-956.2573825584418	-890.3120523785858	
64	-26.01047760243612	-367.03820817824885	-26.57607727049139	
65	1480.4699836793657	-51.72528089206148	-518.4170154790578	
66	252.8560782009387	-163.70184281392255	244.80344478414543	
67	1903.297087242414	-860.6358377458884	-550.2745757516936	
68	1768.756099558036	-292.5872804688389	-765.7169550376643	
69	-208.21137400169553	-11.650626696439701	-658.3097219499261	
70	934.4178693602402	-548.0370227393937	-720.8816181424872	
71	1230.932145382985	-751.9555621881188	-459.2140913526043	
72	551.5702870129858	-1752.5284277700512	-1004.2377148587265	
73	1675.6334832053954	-506.55860264809365	-621.0534203790647	
74	1745.015992127577	-737.8448725741292	-612.0670719887974	
